"Bank of Thailand","","","","","","","","","","","","","",""
"FI_CB_030_S2 : Capital Funds 1/","","","","","","","","","","","","","",""
"(Unit: Millions of Baht)","","","","","","","","","","","","","",""
"Last Updated : 10 Sep 2020 09:00","","","","","","","","","","","","","",""
"Retrieved date : 22 Sep 2020 18:00","","","","","","","","","","","","","",""
"","","JUL 2020 p","JUN 2020 r","MAY 2020 ","APR 2020 ","MAR 2020 r","FEB 2020 ","JAN 2020 r","DEC 2019 r","NOV 2019 r","OCT 2019 r","SEP 2019 r","AUG 2019 r","JUL 2019 r"
"1","Commercial Banks registered in Thailand 2/","","","","","","","","","","","","",""
"2","   Capital Funds Common Equity Tier 1","2143030","2147419","2156012","2179852","2085683","2107240","2116746","2116007","2061147","2019132","2027670","2034155","1958771"
"3","   % of risk assets","15.61","15.68","15.59","15.75","15.15","15.75","15.91","16.02","15.83","15.59","15.62","15.64","15.1"
"4","   Capital Funds Tier 1","2155119","2159508","2168101","2191941","2097772","2119329","2128835","2128096","2061147","2019132","2027670","2034155","1958771"
"5","   % of risk assets","15.7","15.76","15.68","15.84","15.24","15.84","16","16.11","15.83","15.59","15.62","15.64","15.1"
"6","   Capital Funds Total","2562967","2574935","2584810","2616162","2534885","2553208","2559921","2555743","2509907","2467943","2452844","2439556","2369896"
"7","   % of risk assets","18.67","18.8","18.69","18.9","18.41","19.09","19.24","19.35","19.28","19.06","18.89","18.76","18.27"
"8","No. of banks","19","19","19","19","19","19","19","19","19","19","19","19","19"
"9","Branches of Foreign bank","","","","","","","","","","","","",""
"10","   Capital Funds Total","302297","302284","301910","300226","301092","289318","289344","289352","289533","285474","285152","292984","293071"
"11","   % of risk assets","22.92","23.03","22.24","21.87","21.82","21.86","22.17","22.57","22.47","22.35","22.03","22.67","22.88"
"12","No. of banks","11","11","11","11","11","11","11","11","11","11","11","11","11"
"13","Total","2865263","2877219","2886720","2916388","2835977","2842526","2849264","2845095","2799440","2753416","2737996","2732540","2662968"
"14","   % of risk assets","19.05","19.17","19.01","19.17","18.72","19.33","19.5","19.63","19.57","19.36","19.18","19.11","18.69"
"15","No. of banks","30","30","30","30","30","30","30","30","30","30","30","30","30"
"","","","","","","","","","","","","","",""
"Source:","","","","","","","","","","","","","",""
"Bank of Thailand","","","","","","","","","","","","","",""
"Remark:","","","","","","","","","","","","","",""
"1/ From August 2008 to November 2008, Risk assets included risk-weighted assets for credit risk and market risk.
From December 2008 onwards, Risk assets included risk-weighted assets for credit risk, market risk and operational risk.","","","","","","","","","","","","","",""
"2/ April 2010 figure showed a fairly large increase above the typical trend due to an increase in capital fund of some commercial banks.","","","","","","","","","","","","","",""
